user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
alejwho,6915511271853442053,6997476963472477445,,1629227066,8,https://www.tiktok.com/@alejwho/video/6997476963472477445?lang=en,860600,17000,6474,4600000
usimmango,6760445055964906501,6997449150220569862,Thank y’all💕@billboard // Insta: Usim.mango,1629220590,10,https://www.tiktok.com/@usimmango/video/6997449150220569862?lang=en,504000,1003,4338,4200000
joerauth_,6607161116286697478,6996704727069101317,Always the slow jog #fyp #dad #parents #pov,1629047266,23,https://www.tiktok.com/@joerauth_/video/6996704727069101317?lang=en,5300000,83000,46800,21200000
tiktokmusic,6584207358494244870,6997102728119930113,@justinbieber & @thekidlaroi start the week off right at the top of the official TikTok Top 10! How many songs do you recognize? #ItStartsOnTikTok,1629139933,21,https://www.tiktok.com/@tiktokmusic/video/6997102728119930113?lang=en,259,2,25,6006
rod,6738873310681711622,6995325276100037894,I feel like I’m cramming for a test but the test is how to throw a baseball ⚾️ 🐻 #chicago #millennial #anxiety,1628726088,13,https://www.tiktok.com/@rod/video/6995325276100037894?lang=en,26300,729,526,251800
lowcarbstateofmind,6829306104042030086,6994884440430234886,Cloud Bread #learnontiktok #tiktokpartner #learnhow IB : @nutritionbabe & @lilsipper_official,1628623449,30,https://www.tiktok.com/@lowcarbstateofmind/video/6994884440430234886?lang=en,43800,2432,401,564400
daliaspoems,6915874298163741701,6992643662777814277,A poem about Shawn #fyp #shawnmendes #JetPuffedSmourth #MakingTheCut,1628101726,23,https://www.tiktok.com/@daliaspoems/video/6992643662777814277?lang=en,1300000,28500,46700,4200000
khaby.lame,127905465618821121,6994838665302183173,I feel you guys! Bless the cleaning men and ladies. Vi capisco ragazzi! Rispetto a tutti gli uomini e le donne delle pulizie.#learnfromkhaby,1628612790,18,https://www.tiktok.com/@khaby.lame/video/6994838665302183173?lang=en,5200000,17600,152300,35500000
tiktok,107955,6994524321238535430,They inspired us in the heat of competition and they're still doing it. 🔥 We’re passing the phone to some of our faves from Tokyo. 👏✨,1628539600,46,https://www.tiktok.com/@tiktok/video/6994524321238535430?lang=en,36100,1596,5372,840200
totouchanemu,6815823196539044869,6993559548661386502,I thought I had reached maximum vibes. Then @bellapoarch turned it up to 11.,1628314974,14,https://www.tiktok.com/@totouchanemu/video/6993559548661386502?lang=en,16000000,127700,122900,103100000
gracespanik,6532292057401311234,6990203723549019397,we got kicked out after this  #foryoupage #fyp #sushibae #TheSuicideSquadMovie #LiveFlowSweatDuet #viral,1627533634,129,https://www.tiktok.com/@gracespanik/video/6990203723549019397?lang=en,4700000,13800,30400,28000000
peachtreerascal,6658834840131829765,6992284997868686598,this was our first festival EVER look at all of you singing our song thank you so MUCH LOLLAPALOOZA WE LOVE YOU 🦋💜😭,1628018217,17,https://www.tiktok.com/@peachtreerascal/video/6992284997868686598?lang=en,1895,46,86,21500
joejonas,6634514019254992901,6991903445657734406,🆘,1627929380,14,https://www.tiktok.com/@joejonas/video/6991903445657734406?lang=en,2500000,95500,40500,11000000
mlb,6569247715560456198,6992355864254467334,The purrfect TikTok doesn’t exi- (pt 2),1628034718,11,https://www.tiktok.com/@mlb/video/6992355864254467334?lang=en,14500000,315400,132300,64400000
abigailbarlowww,9548185,6992573937842490630,"Your obsession isn’t over yet. Stream #bridgertonmusical on all streaming platforms September 10, 2021. ❤️‍🔥 @emilythebear",1628085492,129,https://www.tiktok.com/@abigailbarlowww/video/6992573937842490630?lang=en,134200,3331,1550,672300
flossybaby,6807126210209973253,6991607411807227141,"LA i’ve arrived, mutuals if you’re watching this hmu 🥰",1627860455,10,https://www.tiktok.com/@flossybaby/video/6991607411807227141?lang=en,265500,532,2359,1100000
