user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
cutepetowner,6943427981868024838,6968334547695979782,#cute #pet #dog #fyp #duck,1622441827,9,https://www.tiktok.com/@cutepetowner/video/6968334547695979782?lang=en,2500000,497800,95900,29400000
root_soup,6643947008107823110,6965505246315531526,Sushi doesn’t know she’s too big for the cat door. 😑 #pug #pugsoftiktok #dogsoftiktok #fyp,1621783073,7,https://www.tiktok.com/@root_soup/video/6965505246315531526?lang=en,360000,163800,3767,6000000
mimisskate,6765439695927100422,6997503162898795778,@russian_harley_official,1629233167,10,https://www.tiktok.com/@mimisskate/video/6997503162898795778?lang=en,642500,3046,2549,9400000
susanrelicario,6817653481027306501,6968529401143250182,,1622487189,13,https://www.tiktok.com/@susanrelicario/video/6968529401143250182?lang=en,56300,68500,624,3300000
el.tigre.g,6560782791032799234,6980139750690950405,#umortiktok #umor2021 #viraltiktok #sonrriesoloeshumor🤣,1625190436,8,https://www.tiktok.com/@el.tigre.g/video/6980139750690950405?lang=en,237500,77400,1418,5800000
joydt1,6801981420543427590,6983467884978638085,#magic #magictricks #foryou #foryoupage #viral #tiktokviral #wow #cool #xyzbca #joyswt #fy Via@cosmo.guy,1625965327,11,https://www.tiktok.com/@joydt1/video/6983467884978638085?lang=en,297400,197700,0,7400000
oneslow4.7,6794487393677689861,6992371397020404997,@jonathann0.6 #pizza#foryoupage,1628038334,9,https://www.tiktok.com/@oneslow4.7/video/6992371397020404997?lang=en,1200000,35700,9326,5700000
theglobalanimalsworld,6961801225046246406,6990833805103811845,By wildsplanet #hypopotamus #animals,1627680335,8,https://www.tiktok.com/@theglobalanimalsworld/video/6990833805103811845?lang=en,1400000,176500,12300,12400000
coco224466,6974782710108521477,6977625126338710789,He really did the 🦗🦟#happydog #puppy #dog #funnyvideo #animals #foryou #foryoupage #fypシ #dogsoftiktok #viral #fypage,1624604959,10,https://www.tiktok.com/@coco224466/video/6977625126338710789?lang=en,3800000,288700,118200,42800000
aria_eatss,6984600794087949318,6994264925925297414,Aria eats Pop Rocks! #babiesoftiktok #foryoupage #foryou #fypシ #cute #baby #food #babies #aria_eats,1628479206,13,https://www.tiktok.com/@aria_eatss/video/6994264925925297414?lang=en,185700,4768,4110,7200000
leytink,6598493699500654597,6997334952119487745,⚠️FB⚠️,1629194002,8,https://www.tiktok.com/@leytink/video/6997334952119487745?lang=en,3600000,10100,29500,22000000
hadoglove,6974674853224662022,6990179864766713093,The dog was terrified!!!#fypシ #dog #comedy #funnyvideo,1627528079,8,https://www.tiktok.com/@hadoglove/video/6990179864766713093?lang=en,211400,24300,4562,4400000
spicekingcam,6770811947673404422,6967513355456187654,shhh asmr #spiceking,1622250623,15,https://www.tiktok.com/@spicekingcam/video/6967513355456187654?lang=en,2600000,18000,58600,27300000
video.7777,6991022790066324486,6992511444008832262,#dogs #fypシ #animals,1628070942,11,https://www.tiktok.com/@video.7777/video/6992511444008832262?lang=en,47900,1491,611,719100
attixus,6626786167943741445,6966347577524555013,,1621979194,15,https://www.tiktok.com/@attixus/video/6966347577524555013?lang=en,34100,21600,1251,471600
pinkgerbergirl,6923595898551714821,6978642634629827846,Out here living her best life ✨💖#babiestiktok #fypシ #viralchallenge #weekendvibes #summervibes #mambobabyfloat #amazon #gerberbaby #lifeisgood,1624841861,10,https://www.tiktok.com/@pinkgerbergirl/video/6978642634629827846?lang=en,5000000,563200,36100,57000000
latiktokeuse869,6861266353005888518,6968377111715302662,,1622451738,13,https://www.tiktok.com/@latiktokeuse869/video/6968377111715302662?lang=en,380700,47200,5452,10100000
swagboyq,676286,6998210806072560902,BRUH 🤣🤣 #prank #walmart,1629397927,10,https://www.tiktok.com/@swagboyq/video/6998210806072560902?lang=en,530800,7998,5098,3600000
moontellthat,6807620910251115525,6978279631048772869,I do need help 😩 #trolling  #vietnamesegirl #couplecomedy #womenpower,1624757343,27,https://www.tiktok.com/@moontellthat/video/6978279631048772869?lang=en,11100000,879800,122500,97800000
kikakiim,6785823001336415238,6989296718252657922,Happy birthday to me🤍🎂,1627322458,13,https://www.tiktok.com/@kikakiim/video/6989296718252657922?lang=en,18300000,86000,399000,83000000
coco224466,6974782710108521477,6987202346799402246,I’m loosing my mind over the tiny shoe#dog #pet #animals #puppy #dogsoftiktok #petsoftiktok #tiktokanimals #doglife #viral #dogsvideo #foryou,1626834824,15,https://www.tiktok.com/@coco224466/video/6987202346799402246?lang=en,4000000,671100,88100,27800000
idaamayy,6810168566839821317,6996149714248912134,Little kids bad asl #kids #funnyy #comedy #joke #viral #fypシ #fyeeeeeeeeeepppppp #tiktok #idamay #idamaychallenge,1628918043,12,https://www.tiktok.com/@idaamayy/video/6996149714248912134?lang=en,1100000,82000,24200,11500000
verito_ysuhija,6610883169879490566,6965486274689928454,#🤣🤣🤣🤣🤣🤣#🤣🤣🤣🤣🤣🤣🥰#YO HABLANDO#INGLES,1621778657,23,https://www.tiktok.com/@verito_ysuhija/video/6965486274689928454?lang=en,28800,22200,863,1800000
mimisskate,6765439695927100422,6981508296444218626,,1625509075,10,https://www.tiktok.com/@mimisskate/video/6981508296444218626?lang=en,3300000,42500,24800,43400000
roscoescomedy,6804483110286967814,6994544958082501894,The way she looked at all the meat when I pulled up 😂,1628544406,36,https://www.tiktok.com/@roscoescomedy/video/6994544958082501894?lang=en,552100,17000,3654,7200000
addisonre,6703550784929793030,6981166027702799622,,1625429382,7,https://www.tiktok.com/@addisonre/video/6981166027702799622?lang=en,2500000,24400,19700,18300000
jeriah888,6766045065539519493,6974057588833012998,#stitch with @rainminix chai miss mamas took me clean out🤣💀✋🏾 #fyp #foryou #28XTREMES #viral #trending #banana #fruit #food #comedy #funnyvideo,1623774321,15,https://www.tiktok.com/@jeriah888/video/6974057588833012998?lang=en,6500000,260700,103300,39100000
alvarinabonaccio1,6959959618160952326,6995379238425660678,,1628738653,12,https://www.tiktok.com/@alvarinabonaccio1/video/6995379238425660678?lang=en,341100,272100,59100,15400000
maverick_and_cooper,6758676481066861573,6997125969622371590,Reply to @penelopeanneedgem38 #noseydog #noseyneighbor #tiktokdogs #frenchie,1629145344,9,https://www.tiktok.com/@maverick_and_cooper/video/6997125969622371590?lang=en,195900,21700,4178,2100000
floofnoodles,6627513475987079174,6996077376887098630,Do you remember me? #foryou 🤗 #ferret #dancing,1628901200,9,https://www.tiktok.com/@floofnoodles/video/6996077376887098630?lang=en,2200000,40900,35900,13500000
