user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
washingtonpost,6665748878039842822,6997840884201000198,Every day is a celebration. 🎉,1629311798,10,https://www.tiktok.com/@washingtonpost/video/6997840884201000198?lang=en,73000,340,581,480700
washingtonpost,6665748878039842822,6997789492606209286,"A Florida school district has 8,400 students and 307 staff members in isolation because of a surge in coronavirus cases. #coronavirus #variantsurge",1629299833,19,https://www.tiktok.com/@washingtonpost/video/6997789492606209286?lang=en,17000,341,231,107800
washingtonpost,6665748878039842822,6997504486688230662,The Biden admin plans to announce that most Americans who received the coronavirus vaccine will need booster shots to combat waning immunity #bamarush,1629233474,18,https://www.tiktok.com/@washingtonpost/video/6997504486688230662?lang=en,367300,38800,2698,2300000
washingtonpost,6665748878039842822,6997415521977109765,Did you consider a career change?,1629212761,16,https://www.tiktok.com/@washingtonpost/video/6997415521977109765?lang=en,12500,329,184,93500
washingtonpost,6665748878039842822,6997097136047361286,I talked about making TikToks on the Post Reports podcast last Friday. Listen now wherever you listen to podcasts!,1629138631,9,https://www.tiktok.com/@washingtonpost/video/6997097136047361286?lang=en,4585,33,53,49600
washingtonpost,6665748878039842822,6997067968316312838,Head to our bio to learn more about what’s happening in Afganistan right now.,1629131840,10,https://www.tiktok.com/@washingtonpost/video/6997067968316312838?lang=en,15000,365,164,158000
washingtonpost,6665748878039842822,6996012515255733509,You must read all the news to level up.,1628886098,19,https://www.tiktok.com/@washingtonpost/video/6996012515255733509?lang=en,73200,5854,1100,657800
washingtonpost,6665748878039842822,6995923974194547973,The FDA just authorized extra vaccine doses for immunocompromised patients to bolster protection against the coronavirus.,1628865483,26,https://www.tiktok.com/@washingtonpost/video/6995923974194547973?lang=en,16600,99,113,116000
washingtonpost,6665748878039842822,6995607618005781766,Lola had a big day. #covergirl #dogmodel #furryfriends #inthepaper,1628791825,20,https://www.tiktok.com/@washingtonpost/video/6995607618005781766?lang=en,7991,51,72,45400
washingtonpost,6665748878039842822,6995566925942115590,The new guidance officially moves the CDC off its previous neutral stance on whether immunization is safe for pregnant people.,1628782351,17,https://www.tiktok.com/@washingtonpost/video/6995566925942115590?lang=en,21700,180,131,103400
washingtonpost,6665748878039842822,6995250138407046406,Sen. Ted Cruz objected to immediate consideration of a voting bill early Wednesday morning. The Senate then adjourned for a month-long recess.,1628708593,8,https://www.tiktok.com/@washingtonpost/video/6995250138407046406?lang=en,11100,86,228,102800
washingtonpost,6665748878039842822,6995210275955739909,Here are three takeaways from the United Nations’ latest climate change report. Read more at the article in our bio. #climatechange #UNreport,1628699312,16,https://www.tiktok.com/@washingtonpost/video/6995210275955739909?lang=en,4226,26,105,31400
washingtonpost,6665748878039842822,6994892779063086342,Gov. Cuomo announced his resignation Tuesday to head off a looming impeachment effort after an investigation found he sexually harassed 11 women.,1628625389,35,https://www.tiktok.com/@washingtonpost/video/6994892779063086342?lang=en,6544,53,64,43700
washingtonpost,6665748878039842822,6994833507721743622,Back to school 2021. #deltavariant #masks #backtoschool,1628611589,17,https://www.tiktok.com/@washingtonpost/video/6994833507721743622?lang=en,16700,160,154,115800
washingtonpost,6665748878039842822,6994524028488781062,Keeping up with the CDC.,1628539532,13,https://www.tiktok.com/@washingtonpost/video/6994524028488781062?lang=en,36800,229,274,202600
washingtonpost,6665748878039842822,6994481086571072774,Fact check: not a flight attendant (but still funny) #frontierairlines #flightattendant #ducttape,1628529535,32,https://www.tiktok.com/@washingtonpost/video/6994481086571072774?lang=en,46000,3058,397,376900
